long,lat,region_id
-46.73571,-23.51714,1
-46.73593,-23.51715,1
-46.73601,-23.51715,1
-46.73608,-23.51715,1
-46.73617,-23.51714,1
-46.73626,-23.51714,1
-46.73688,-23.51711,1
-46.73737,-23.51709,1
-46.73777,-23.51708,1
-46.73817,-23.51706,1
-46.73848,-23.51705,1
-46.73873,-23.51704,1
-46.73913,-23.51703,1
-46.73918,-23.51704,1
-46.7392,-23.51704,1
-46.73922,-23.51704,1
-46.73934,-23.51704,1
-46.73948,-23.51703,1
-46.73986,-23.51701,1
-46.73992,-23.517,1
-46.7402,-23.51699,1
-46.74047,-23.51698,1
-46.74067,-23.51697,1
-46.74111,-23.51696,1
-46.74144,-23.51695,1
-46.74165,-23.51695,1
-46.74185,-23.51695,1
-46.74196,-23.51694,1
-46.74206,-23.51694,1
-46.74221,-23.51694,1
-46.74242,-23.51695,1
-46.74279,-23.51699,1
-46.74301,-23.51701,1
-46.74307,-23.51703,1
-46.7432,-23.51709,1
-46.7433,-23.5171,1
-46.74355,-23.51715,1
-46.7438,-23.5172,1
-46.74392,-23.51722,1
-46.7441,-23.51727,1
-46.74434,-23.51733,1
-46.7445,-23.51738,1
-46.74468,-23.51744,1
-46.74475,-23.51746,1
-46.74482,-23.51749,1
-46.745,-23.51756,1
-46.74541,-23.51775,1
-46.7457,-23.51793,1
-46.74584,-23.51802,1
-46.74589,-23.51805,1
-46.74598,-23.51811,1
-46.74624,-23.51832,1
-46.74651,-23.51857,1
-46.74669,-23.51876,1
-46.74692,-23.51901,1
-46.74703,-23.51914,1
-46.74706,-23.51918,1
-46.74719,-23.51935,1
-46.74722,-23.51939,1
-46.74741,-23.51968,1
-46.74752,-23.51984,1
-46.74761,-23.51999,1
-46.74767,-23.52011,1
-46.74782,-23.52041,1
-46.74795,-23.52074,1
-46.74833,-23.52165,1
-46.74844,-23.52191,1
-46.74856,-23.52218,1
-46.74863,-23.52231,1
-46.74868,-23.5224,1
-46.74872,-23.52247,1
-46.74882,-23.52262,1
-46.74892,-23.52277,1
-46.74915,-23.52307,1
-46.74917,-23.52308,1
-46.74926,-23.52318,1
-46.74931,-23.52323,1
-46.7494,-23.52332,1
-46.74958,-23.52349,1
-46.74976,-23.52363,1
-46.74989,-23.52372,1
-46.75009,-23.52384,1
-46.75041,-23.52403,1
-46.75061,-23.52413,1
-46.75093,-23.52429,1
-46.75109,-23.52436,1
-46.75121,-23.52441,1
-46.75128,-23.52443,1
-46.75161,-23.52452,1
-46.75181,-23.52458,1
-46.75205,-23.52464,1
-46.75225,-23.52467,1
-46.7525,-23.52471,1
-46.7527,-23.52474,1
-46.75305,-23.52476,1
-46.75344,-23.52475,1
-46.75372,-23.52473,1
-46.75411,-23.52468,1
-46.75445,-23.52462,1
-46.75489,-23.5245,1
-46.75537,-23.52436,1
-46.75554,-23.52428,1
-46.75559,-23.52426,1
-46.75563,-23.52424,1
-46.75569,-23.52422,1
-46.75587,-23.52422,1
-46.75613,-23.52411,1
-46.75661,-23.52394,1
-46.55623,-23.50817,2
-46.55623,-23.50818,2
-46.55621,-23.50824,2
-46.5562,-23.5083,2
-46.55618,-23.50837,2
-46.55611,-23.50857,2
-46.55604,-23.50879,2
-46.55603,-23.50889,2
-46.55601,-23.50898,2
-46.556,-23.50909,2
-46.556,-23.50916,2
-46.556,-23.50921,2
-46.55601,-23.50928,2
-46.55603,-23.50936,2
-46.55604,-23.50942,2
-46.55606,-23.5095,2
-46.5561,-23.5096,2
-46.55627,-23.51002,2
-46.55632,-23.51015,2
-46.55638,-23.51036,2
-46.55639,-23.51041,2
-46.55643,-23.51053,2
-46.55644,-23.51058,2
-46.55644,-23.51059,2
-46.55649,-23.51082,2
-46.5565,-23.51088,2
-46.55649,-23.5109,2
-46.55649,-23.51092,2
-46.55648,-23.51093,2
-46.55647,-23.51094,2
-46.55645,-23.51098,2
-46.55655,-23.51135,2
-46.5566,-23.51157,2
-46.55668,-23.51195,2
-46.55678,-23.5125,2
-46.55685,-23.51284,2
-46.55688,-23.51307,2
-46.55693,-23.51347,2
-46.55695,-23.51359,2
-46.55697,-23.51372,2
-46.55698,-23.51385,2
-46.55699,-23.51408,2
-46.55699,-23.51432,2
-46.55699,-23.51452,2
-46.55699,-23.51472,2
-46.55698,-23.51483,2
-46.55698,-23.51485,2
-46.55693,-23.51507,2
-46.55691,-23.51514,2
-46.5569,-23.5152,2
-46.55689,-23.51532,2
-46.55687,-23.51541,2
-46.55682,-23.5157,2
-46.5568,-23.51585,2
-46.55677,-23.51599,2
-46.55675,-23.51606,2
-46.55656,-23.51688,2
-46.55643,-23.51744,2
-46.55635,-23.51776,2
-46.55633,-23.51782,2
-46.55628,-23.5181,2
-46.55624,-23.51836,2
-46.55622,-23.5185,2
-46.55621,-23.51865,2
-46.5562,-23.5188,2
-46.55619,-23.51897,2
-46.5562,-23.51905,2
-46.5562,-23.51912,2
-46.55621,-23.51927,2
-46.55622,-23.51947,2
-46.55623,-23.51952,2
-46.55626,-23.51972,2
-46.55628,-23.51977,2
-46.55629,-23.51985,2
-46.55633,-23.51997,2
-46.55638,-23.52015,2
-46.55643,-23.5203,2
-46.55646,-23.5204,2
-46.55652,-23.52053,2
-46.55655,-23.52059,2
-46.55661,-23.5207,2
-46.55673,-23.52094,2
-46.55679,-23.52104,2
-46.55684,-23.52111,2
-46.55688,-23.52118,2
-46.55694,-23.52126,2
-46.55702,-23.52138,2
-46.55718,-23.52156,2
-46.55725,-23.52163,2
-46.5573,-23.52169,2
-46.55739,-23.52179,2
-46.5575,-23.52189,2
-46.55771,-23.52208,2
-46.55788,-23.52221,2
-46.55795,-23.52226,2
-46.55803,-23.52232,2
-46.55811,-23.52238,2
-46.55826,-23.52247,2
-46.55836,-23.52252,2
-46.55867,-23.52267,2
-46.55874,-23.5227,2
-46.559,-23.5228,2
-46.55917,-23.52286,2
-46.55934,-23.5229,2
-46.5595,-23.52294,2
-46.55965,-23.52297,2
-46.55988,-23.52301,2
-46.56021,-23.52304,2
-46.56038,-23.52305,2
-46.56055,-23.52306,2
-46.56078,-23.52305,2
-46.56097,-23.52304,2
-46.56124,-23.52302,2
-46.56147,-23.52301,2
-46.56194,-23.52299,2
-46.5622,-23.52297,2
-46.56239,-23.52297,2
-46.56306,-23.52296,2
-46.56339,-23.523,2
-46.56353,-23.52302,2
-46.56386,-23.52306,2
-46.56413,-23.52311,2
-46.56452,-23.52319,2
-46.56504,-23.52334,2
-46.56535,-23.52335,2
-46.56564,-23.52347,2
-46.56579,-23.52354,2
-46.56592,-23.5236,2
-46.56621,-23.52375,2
-46.56654,-23.52393,2
-46.56677,-23.52407,2
-46.56721,-23.52431,2
-46.56769,-23.52457,2
-46.56793,-23.52471,2
-46.56849,-23.52499,2
-46.569,-23.52521,2
-46.56955,-23.52542,2
-46.5698,-23.5255,2
-46.57009,-23.52559,2
-46.57051,-23.5257,2
-46.5712,-23.52585,2
-46.57148,-23.52589,2
-46.57163,-23.52592,2
-46.57188,-23.52593,2
-46.57234,-23.52594,2
-46.57257,-23.52593,2
-46.57294,-23.5259,2
-46.57328,-23.52586,2
-46.57368,-23.52582,2
-46.57406,-23.52577,2
-46.57424,-23.52576,2
-46.57463,-23.52572,2
-46.57494,-23.5257,2
-46.5752,-23.52569,2
-46.57553,-23.52569,2
-46.57565,-23.5257,2
-46.57612,-23.52573,2
-46.57661,-23.52578,2
-46.57683,-23.52582,2
-46.57684,-23.52582,2
-46.57702,-23.52586,2
-46.5772,-23.52589,2
-46.57756,-23.52597,2
-46.57802,-23.52609,2
-46.57837,-23.52618,2
-46.57873,-23.52627,2
-46.57965,-23.52652,2
-46.57989,-23.52658,2
-46.58109,-23.52688,2
-46.58124,-23.52692,2
-46.58222,-23.52718,2
-46.58252,-23.52725,2
-46.58258,-23.52727,2
-46.58307,-23.52739,2
-46.58328,-23.52745,2
-46.58393,-23.52761,2
-46.585,-23.52788,2
-46.58535,-23.52797,2
-46.58772,-23.52857,2
-46.5885,-23.52877,2
-46.58875,-23.52883,2
-46.58905,-23.52891,2
-46.5896,-23.52905,2
-46.58968,-23.52907,2
-46.59026,-23.52922,2
-46.59028,-23.52922,2
-46.59054,-23.52928,2
-46.5907,-23.52932,2
-46.59091,-23.52935,2
-46.59113,-23.52938,2
-46.59118,-23.52939,2
-46.5913,-23.52941,2
-46.59152,-23.52942,2
-46.59173,-23.52943,2
-46.59193,-23.52943,2
-46.59208,-23.52942,2
-46.5922,-23.52942,2
-46.59234,-23.52941,2
-46.59259,-23.52936,2
-46.5928,-23.52934,2
-46.59293,-23.52933,2
-46.59307,-23.5293,2
-46.5932,-23.52928,2
-46.59333,-23.52925,2
-46.59393,-23.52909,2
-46.594,-23.52907,2
-46.59407,-23.52905,2
-46.59418,-23.52901,2
-46.59429,-23.52897,2
-46.59447,-23.52889,2
-46.59461,-23.52883,2
-46.59473,-23.52877,2
-46.59484,-23.52871,2
-46.59488,-23.52869,2
-46.59493,-23.52866,2
-46.595,-23.52862,2
-46.59506,-23.52857,2
-46.59516,-23.52854,2
-46.59538,-23.52838,2
-46.59566,-23.52817,2
-46.59588,-23.52801,2
-46.5963,-23.5277,2
-46.59665,-23.52743,2
-46.59666,-23.52742,2
-46.59681,-23.5273,2
-46.59691,-23.52723,2
-46.59707,-23.52709,2
-46.59719,-23.52698,2
-46.59737,-23.5268,2
-46.59739,-23.52677,2
-46.59754,-23.5266,2
-46.59772,-23.52642,2
-46.59788,-23.52626,2
-46.59814,-23.52602,2
-46.59939,-23.52497,2
-46.59956,-23.52482,2
-46.59958,-23.52479,2
-46.59961,-23.52472,2
-46.60048,-23.52402,2
-46.601,-23.52361,2
-46.6012,-23.52346,2
-46.6014,-23.52332,2
-46.60177,-23.52308,2
-46.6019,-23.523,2
-46.60207,-23.52292,2
-46.60223,-23.52284,2
-46.60231,-23.5228,2
-46.6025,-23.52272,2
-46.60271,-23.52263,2
-46.60283,-23.52259,2
-46.60294,-23.52255,2
-46.60309,-23.5225,2
-46.60327,-23.52244,2
-46.6035,-23.52238,2
-46.60354,-23.52237,2
-46.60372,-23.52233,2
-46.60377,-23.52232,2
-46.60394,-23.52228,2
-46.60407,-23.52226,2
-46.60418,-23.52224,2
-46.60427,-23.52223,2
-46.60431,-23.52223,2
-46.60449,-23.5222,2
-46.60484,-23.52217,2
-46.60539,-23.52217,2
-46.60557,-23.52218,2
-46.60571,-23.52219,2
-46.60584,-23.5222,2
-46.60603,-23.52222,2
-46.60617,-23.52224,2
-46.60643,-23.52229,2
-46.6077,-23.52254,2
-46.60794,-23.52259,2
-46.60816,-23.52263,2
-46.60839,-23.52267,2
-46.60862,-23.5227,2
-46.60886,-23.52272,2
-46.60909,-23.52273,2
-46.6092,-23.52273,2
-46.60932,-23.52273,2
-46.60945,-23.52273,2
-46.60967,-23.52272,2
-46.60994,-23.5227,2
-46.6101,-23.52267,2
-46.61029,-23.52263,2
-46.6103,-23.52263,2
-46.6105,-23.52259,2
-46.61068,-23.52254,2
-46.61084,-23.5225,2
-46.61114,-23.5224,2
-46.6113,-23.52234,2
-46.61141,-23.52229,2
-46.61151,-23.52225,2
-46.61165,-23.52218,2
